record,split,rate_hz,protocol,horizon,domain,oracle_rms,fp_rms,floor_over_target,oracle_finite,fp_finite
V2_aprbs_Ylow,V,2000,open_loop,full,band,2.0703010363927935e-07,8.348985818184845e-06,0.024797036208679273,True,True
V2_aprbs_Ylow,V,2000,open_loop,windows,time,3.691439384414569e-07,0.0005275038094527055,0.0006997938817246652,True,True
V2_aprbs_Ylow,V,2000,open_loop,windows,band,1.9261090973270263e-07,7.745882397991165e-06,0.024866232126459185,True,True
V2_aprbs_Ylow,V,1000,open_loop,full,time,3.775731922203644e-05,0.0008540618412559509,0.04420911624679538,True,True
V2_aprbs_Ylow,V,1000,open_loop,full,band,9.701079812476486e-07,7.953732677503988e-06,0.12196889442757641,True,True
V2_aprbs_Ylow,V,1000,open_loop,windows,time,1.587026971938411e-06,0.0005480240094773703,0.0028959077421660748,True,True
V2_aprbs_Ylow,V,1000,open_loop,windows,band,9.178317332178077e-07,7.650457796456232e-06,0.11997082496722698,True,True
V3_ysweep_Yp10,V,4000,open_loop,full,time,2.318055774457972e-06,1.3918591836468059e-05,0.16654384306208628,True,True
V3_ysweep_Yp10,V,4000,open_loop,full,band,5.1086314515026796e-08,8.458247877948052e-06,0.006039822342901139,True,True
V3_ysweep_Yp10,V,4000,open_loop,windows,time,7.63573629450606e-08,0.0004577155254441351,0.0001668227505959488,True,True
V3_ysweep_Yp10,V,4000,open_loop,windows,band,4.6022322878570965e-08,7.583405253199908e-06,0.006068820185912035,True,True
V3_ysweep_Yp10,V,2000,open_loop,full,time,9.417804045985425e-06,9.542160112950826e-06,0.986967723713143,True,True
V3_ysweep_Yp10,V,2000,open_loop,full,band,2.0833067452907692e-07,8.349318108994135e-06,0.02495181903593503,True,True
V3_ysweep_Yp10,V,2000,open_loop,windows,time,3.081065161695325e-07,0.00044914344865039336,0.0006859868870298453,True,True
V3_ysweep_Yp10,V,2000,open_loop,windows,band,1.9552385481457605e-07,7.78880584017065e-06,0.02510318768073081,True,True
V3_ysweep_Yp10,V,1000,open_loop,full,time,3.5823829594318594e-05,2.6129857269367513e-05,1.3709921652084756,True,True
V3_ysweep_Yp10,V,1000,open_loop,full,band,9.774042836374636e-07,7.922896114485967e-06,0.12336452094208446,True,True
V3_ysweep_Yp10,V,1000,open_loop,windows,time,1.3511225479887136e-06,0.0005136761095275893,0.0026303005394416644,True,True
V3_ysweep_Yp10,V,1000,open_loop,windows,band,9.349894737880106e-07,7.631502363803978e-06,0.12251709155233208,True,True
V4_lissajous_Ym10,V,4000,open_loop,full,time,2.3786770808211227e-06,0.00016102405157003146,0.01477218500980647,True,True
V4_lissajous_Ym10,V,4000,open_loop,full,band,5.2216938450255435e-08,8.444749519822197e-06,0.006183361428031421,True,True
V4_lissajous_Ym10,V,4000,open_loop,windows,time,7.88464203808731e-08,0.0005037453593294297,0.00015652039055174825,True,True
V4_lissajous_Ym10,V,4000,open_loop,windows,band,4.695938187966139e-08,7.523950729416516e-06,0.00624131969605589,True,True
V4_lissajous_Ym10,V,2000,open_loop,full,time,9.678130566256789e-06,0.000163978340279718,0.059020786219372706,True,True
V4_lissajous_Ym10,V,2000,open_loop,full,band,2.1310761795752225e-07,8.339336410882754e-06,0.025554505473531306,True,True
V4_lissajous_Ym10,V,2000,open_loop,windows,time,3.1575583183417163e-07,0.00047360635304853177,0.0006667052285124546,True,True
V4_lissajous_Ym10,V,2000,open_loop,windows,band,1.9883070974535997e-07,7.784999128710583e-06,0.025540235324122893,True,True
V4_lissajous_Ym10,V,1000,open_loop,full,time,3.676870469035667e-05,0.0001770809031386518,0.20763788776007827,True,True
V4_lissajous_Ym10,V,1000,open_loop,full,band,9.918335083858597e-07,7.931281833007341e-06,0.12505336832921263,True,True
V4_lissajous_Ym10,V,1000,open_loop,windows,time,1.4190710790859826e-06,0.0004915096888776796,0.002887168068499952,True,True
V4_lissajous_Ym10,V,1000,open_loop,windows,band,9.42403125095565e-07,7.6155810223639755e-06,0.12374671378691875,True,True
