record,split,rate_hz,protocol,model,horizon,divergence_seconds,n_diverged_windows,correction_force_finite,correction_force_aggregate_rms,correction_force_rms_X1,correction_force_max_X1,correction_force_rms_X2,correction_force_max_X2,correction_force_rms_Y,correction_force_max_Y,applied_force_finite,applied_force_aggregate_rms,applied_force_rms_X1,applied_force_max_X1,applied_force_rms_X2,applied_force_max_X2,applied_force_rms_Y,applied_force_max_Y
V2_aprbs_Ylow,V,2000,corate,fp,full,,,True,99.8057874349694,41.74276964674094,178.73340411060542,36.24726946213869,125.73696404741685,163.79029963737509,549.8571982704021,True,286.1852602673972,297.5620859498424,1298.8396481212847,269.841472048701,995.8399224833586,290.42795070502825,1039.8853971083797
V2_aprbs_Ylow,V,2000,corate,fp,windows,,0,True,99.17804998438058,41.125845008702335,185.68006933777164,35.6697400601134,139.09514315753768,162.9269508475409,563.120788621216,True,285.74781185332137,298.2741026882601,1298.8231022502644,269.7236635754918,996.0272394044894,288.50847632229386,1039.921594154638
V2_aprbs_Ylow,V,2000,controller20k_zoh,oracle,full,,,True,57.295580592065875,75.42573881478326,297.7960408370634,63.49790263655432,241.6090977230964,11.283835834879964,53.09719961091275,True,285.37690408119835,346.73387904384794,1539.909734834061,313.12449085799534,1212.4454549771883,161.3957945456941,638.0898378560986
V2_aprbs_Ylow,V,2000,controller20k_zoh,oracle,windows,,0,True,115.40650076332838,148.0191035207897,2574.5231369193525,120.85398266549147,1994.7499989227915,58.65697846035885,1066.6530831932646,True,302.20284998889684,368.7696013464481,2975.0067095892327,329.2212487481217,2402.150140091111,172.05242840409008,1333.0174072912164
V2_aprbs_Ylow,V,2000,controller20k_zoh,fp,full,,,True,114.72693243032424,79.44456483532848,338.57217845793514,72.29120889497597,305.39355125464283,167.1805889128423,584.8578542423995,True,318.3922574852602,344.45205564563406,1507.8871625629704,314.1716908290079,1179.44740511144,294.5671721743962,1082.7223104191573
V2_aprbs_Ylow,V,2000,controller20k_zoh,fp,windows,,0,True,151.5332643054343,151.0615438240312,2581.4486277676397,124.82177430872724,1988.7982423492551,174.60505493571264,1108.4057055535875,True,332.7329088213414,367.3482645713073,2983.276985608616,329.5408881024702,2396.7640375836118,297.6434468003927,1333.0174072912164
V2_aprbs_Ylow,V,1000,corate,oracle,full,0.356,,False,,,,,,,,False,,,,,,,
V2_aprbs_Ylow,V,1000,corate,oracle,windows,,0,True,108.72806357245649,46.81679108907523,258.78294998731457,38.657184412263526,222.64582546435406,178.26717474085507,1426.158462045833,True,252.06967327119432,272.80548288082326,1068.31085505921,248.08507991966334,937.4660053275402,233.76980596423286,1389.2161153775896
V2_aprbs_Ylow,V,1000,corate,fp,full,,,True,137.18962175460987,92.7100435744698,373.4157789034749,78.07606002999589,295.85751599924936,204.38188183430344,672.3052565087783,True,292.7655064237534,278.7557040655258,1154.1168067608771,255.94959870068695,943.107571363781,337.52034846888955,1185.7674847044377
V2_aprbs_Ylow,V,1000,corate,fp,windows,,0,True,134.8189702738611,89.02525700844231,373.17118885500736,75.0832850997824,294.82013243568304,202.3992790261821,672.4130724878872,True,292.1003463181853,280.0738530573496,1156.2179888086348,256.3418525552982,942.2786058161553,334.3879908425827,1181.352378020329
V2_aprbs_Ylow,V,1000,controller20k_zoh,oracle,full,,,True,177.12562926207806,234.68535936651523,898.0945901870732,194.5446732110784,695.0937278367935,34.57770739459075,130.86657637286373,True,347.0228538686818,431.771858738267,1807.64298428615,383.5032633446719,1559.3899561877963,166.65200967039252,618.2231459682332
V2_aprbs_Ylow,V,1000,controller20k_zoh,oracle,windows,,0,True,328.283364730202,394.95529197301653,5916.356303434708,325.9506687613235,4480.614741121541,247.1363622624229,2491.602800565058,True,443.9431068111063,536.2247540212364,5999.830692654775,464.47388474571557,4871.893281296279,296.62007656155316,2688.4410111432726
V2_aprbs_Ylow,V,1000,controller20k_zoh,fp,full,,,True,218.15418466234996,232.0947762399168,993.8634874882512,207.72612011248486,802.877437004755,213.905630412668,794.8516350123507,True,387.9875761790559,421.428398802675,1627.555198614483,390.2609894175705,1532.2225863583876,348.8517487835322,1315.2172920558078
V2_aprbs_Ylow,V,1000,controller20k_zoh,fp,windows,,0,True,332.0533674768287,396.4872336954669,5916.356303434708,331.5692334165311,4480.614741121541,252.26579935892272,2491.602800565058,True,461.794042330339,530.7314264193474,5999.830692654775,468.47189876213383,4871.893281296279,372.3163247515112,2688.4410111432726
V3_ysweep_Yp10,V,4000,corate,oracle,full,,,True,1.006360636411921,1.2255953517492624,4.413534429881767,1.2212781597944107,4.871321978736824,0.21137852714502456,0.8026003083531529,True,197.7865435465783,220.0407462701956,792.9044353910016,224.1468076640804,792.4623193998441,136.74366171477445,450.76570499109687
V3_ysweep_Yp10,V,4000,corate,oracle,windows,,0,True,0.9959169865394486,1.210398795698136,4.413534430703123,1.205992425685328,4.871281811056756,0.23678884432246708,1.8164763602240486,True,197.8234114754942,220.30345463635558,792.9043814747577,224.15098216037367,792.4623187586332,136.47355588257815,450.81090684820225
