[BLA-frf] loaded frf_init_ss.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999889 0.999889 0.99569  0.99569  0.937483 0.937483]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.21754673300598
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
It 3325, sqrt loss 0.08761, Val sim-RMS 0.06607, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3360, sqrt loss 0.09395, Val sim-RMS 0.05499, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3395, sqrt loss 0.09122, Val sim-RMS  0.148, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3430, sqrt loss 0.08075, Val sim-RMS 0.1111, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3465, sqrt loss  0.1055, Val sim-RMS 0.06625, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3500, sqrt loss 0.07877, Val sim-RMS 0.2474, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3535, sqrt loss  0.0749, Val sim-RMS 0.06392, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3570, sqrt loss 0.07947, Val sim-RMS 0.0669, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.0427348116705813
It 3605, sqrt loss  0.1093, Val sim-RMS 0.04273, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3640, sqrt loss 0.08858, Val sim-RMS 0.1198, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3675, sqrt loss  0.0704, Val sim-RMS 0.0682, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3710, sqrt loss 0.06798, Val sim-RMS 0.05568, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3745, sqrt loss 0.07927, Val sim-RMS 0.1151, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3780, sqrt loss 0.09114, Val sim-RMS 0.2343, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3815, sqrt loss 0.09957, Val sim-RMS 0.06769, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3850, sqrt loss  0.1059, Val sim-RMS 0.05991, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3885, sqrt loss 0.08033, Val sim-RMS 0.0726, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3920, sqrt loss 0.07868, Val sim-RMS 0.1008, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3955, sqrt loss 0.07285, Val sim-RMS 0.06081, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 3990, sqrt loss 0.06768, Val sim-RMS 0.04769, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4025, sqrt loss 0.07677, Val sim-RMS 0.09771, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4060, sqrt loss 0.08117, Val sim-RMS 0.05363, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4095, sqrt loss 0.07157, Val sim-RMS 0.1554, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4130, sqrt loss 0.07524, Val sim-RMS 0.05224, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4165, sqrt loss 0.07149, Val sim-RMS 0.04796, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4200, sqrt loss 0.07201, Val sim-RMS 0.1118, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4235, sqrt loss 0.06633, Val sim-RMS 0.08997, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4270, sqrt loss 0.06848, Val sim-RMS 0.1307, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4305, sqrt loss   0.104, Val sim-RMS 0.08545, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4340, sqrt loss 0.08818, Val sim-RMS 0.07994, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4375, sqrt loss  0.0944, Val sim-RMS 0.1174, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4410, sqrt loss 0.07543, Val sim-RMS 0.1182, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4445, sqrt loss 0.06727, Val sim-RMS 0.09171, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.03567319248322653
It 4480, sqrt loss 0.06857, Val sim-RMS 0.03567, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4515, sqrt loss 0.07717, Val sim-RMS 0.09345, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4550, sqrt loss 0.08926, Val sim-RMS 0.04847, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4585, sqrt loss 0.06531, Val sim-RMS 0.07634, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4620, sqrt loss 0.06623, Val sim-RMS  0.114, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.3 batches/sec
It 4655, sqrt loss 0.07722, Val sim-RMS 0.05275, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4690, sqrt loss 0.07769, Val sim-RMS 0.03735, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4725, sqrt loss 0.07408, Val sim-RMS 0.05033, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4760, sqrt loss 0.08746, Val sim-RMS 0.06387, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4795, sqrt loss 0.06869, Val sim-RMS 0.06339, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4830, sqrt loss 0.07889, Val sim-RMS  0.135, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4865, sqrt loss 0.08194, Val sim-RMS 0.06875, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4900, sqrt loss 0.08454, Val sim-RMS 0.1497, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4935, sqrt loss 0.06971, Val sim-RMS 0.1282, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 4970, sqrt loss 0.05763, Val sim-RMS 0.04282, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5005, sqrt loss   0.058, Val sim-RMS 0.0589, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5040, sqrt loss 0.05484, Val sim-RMS 0.0915, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5075, sqrt loss  0.0755, Val sim-RMS 0.1373, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5110, sqrt loss 0.07523, Val sim-RMS 0.04574, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5145, sqrt loss  0.0645, Val sim-RMS 0.1061, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5180, sqrt loss 0.06651, Val sim-RMS 0.0881, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5215, sqrt loss 0.07656, Val sim-RMS 0.08386, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5250, sqrt loss 0.06949, Val sim-RMS 0.06491, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5285, sqrt loss 0.07072, Val sim-RMS 0.07198, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5320, sqrt loss 0.07071, Val sim-RMS 0.05225, Time Loss: 85.0%, data: 0.3%, val: 14.6%,  1.4 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.03557959164061399
It 5355, sqrt loss  0.0607, Val sim-RMS 0.03558, Time Loss: 85.0%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5390, sqrt loss 0.06229, Val sim-RMS 0.04253, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5425, sqrt loss 0.06714, Val sim-RMS 0.06662, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5460, sqrt loss 0.06079, Val sim-RMS 0.1726, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5495, sqrt loss 0.07751, Val sim-RMS 0.08604, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5530, sqrt loss  0.1036, Val sim-RMS 0.04224, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5565, sqrt loss 0.07329, Val sim-RMS 0.2484, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5600, sqrt loss 0.06337, Val sim-RMS 0.03986, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5635, sqrt loss 0.06906, Val sim-RMS 0.05124, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5670, sqrt loss 0.05451, Val sim-RMS 0.07773, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5705, sqrt loss 0.05469, Val sim-RMS 0.1864, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 5740, sqrt loss 0.06376, Val sim-RMS 0.0868, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
