[BLA-frf] loaded truth_ss_fs800.npz, nx=8
[BLA-frf] max|eig| = 1.000000, closest pole to z=1: 0.000e+00
[BLA-frf] |eig| = [1.       1.       0.999192 0.998763 0.996286 0.996286 0.936582 0.936582]
[BLA-frf] applied, zero_nonlinear=True
Model already initilized (init_model_done=True), skipping initilizing of the model, the norm and the creation of the optimizer
Size of the training array =  87.7 MB
N_training_samples = 9184, batch_size = 256, N_batch_updates_per_epoch = 35
Initial Validation sim-RMS= 0.15225733443244543
Starting indefinite training until 12600.0 seconds have passed due to provided timeout
########## New lowest validation loss achieved ########### sim-RMS = 0.14065797133553362
It 4375, sqrt loss 0.06514, Val sim-RMS 0.1325, Time Loss: 84.8%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4410, sqrt loss 0.05845, Val sim-RMS 0.1496, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4445, sqrt loss 0.05611, Val sim-RMS 5.886e+14, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4480, sqrt loss 0.05481, Val sim-RMS 1.019e+10, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4515, sqrt loss 0.06255, Val sim-RMS  0.144, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4550, sqrt loss 0.07719, Val sim-RMS 1.717e+16, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4585, sqrt loss 0.06367, Val sim-RMS 0.06469, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4620, sqrt loss 0.06839, Val sim-RMS 0.1127, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.3 batches/sec
It 4655, sqrt loss 0.06215, Val sim-RMS 6.951e+07, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4690, sqrt loss 0.05436, Val sim-RMS 0.1688, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4725, sqrt loss 0.06592, Val sim-RMS 0.09735, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4760, sqrt loss 0.09465, Val sim-RMS 1.764e+04, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4795, sqrt loss  0.0645, Val sim-RMS 1.932e+21, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4830, sqrt loss 0.06046, Val sim-RMS 0.1576, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4865, sqrt loss 0.05951, Val sim-RMS 0.1315, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4900, sqrt loss 0.05544, Val sim-RMS 0.1257, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4935, sqrt loss 0.05347, Val sim-RMS 0.1797, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 4970, sqrt loss 0.05202, Val sim-RMS 0.1441, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5005, sqrt loss 0.08448, Val sim-RMS 0.09289, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5040, sqrt loss 0.07107, Val sim-RMS 0.1559, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5075, sqrt loss 0.05795, Val sim-RMS 0.1114, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5110, sqrt loss 0.06194, Val sim-RMS 0.06542, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5145, sqrt loss 0.06018, Val sim-RMS 1.388e+13, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5180, sqrt loss 0.05279, Val sim-RMS 9.729e+11, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5215, sqrt loss 0.06684, Val sim-RMS 0.1103, Time Loss: 84.9%, data: 0.3%, val: 14.8%,  1.4 batches/sec
It 5250, sqrt loss  0.0612, Val sim-RMS  406.2, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5285, sqrt loss 0.07584, Val sim-RMS 0.1458, Time Loss: 84.9%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5320, sqrt loss 0.06698, Val sim-RMS 7.035e+12, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5355, sqrt loss 0.05062, Val sim-RMS 5.548e+05, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5390, sqrt loss 0.05943, Val sim-RMS 3.652e+09, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5425, sqrt loss 0.05481, Val sim-RMS 4.345e+03, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5460, sqrt loss 0.05702, Val sim-RMS 2.425e+12, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5495, sqrt loss 0.05804, Val sim-RMS  0.125, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5530, sqrt loss  0.1126, Val sim-RMS 1.084e+14, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
########## New lowest validation loss achieved ########### sim-RMS = 0.053854037708692175
It 5565, sqrt loss 0.07169, Val sim-RMS 0.05385, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5600, sqrt loss 0.05269, Val sim-RMS 0.1795, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5635, sqrt loss 0.04781, Val sim-RMS   0.12, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5670, sqrt loss 0.04593, Val sim-RMS 0.1239, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5705, sqrt loss 0.04626, Val sim-RMS 0.1424, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5740, sqrt loss 0.04548, Val sim-RMS 2.455e+05, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5775, sqrt loss 0.05908, Val sim-RMS 0.1606, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5810, sqrt loss  0.0462, Val sim-RMS 0.1287, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5845, sqrt loss 0.06311, Val sim-RMS 0.08736, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5880, sqrt loss 0.08848, Val sim-RMS 0.1309, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5915, sqrt loss 0.05371, Val sim-RMS 3.341e+14, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5950, sqrt loss 0.04942, Val sim-RMS 2.926e+11, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 5985, sqrt loss 0.05984, Val sim-RMS 0.1047, Time Loss: 85.0%, data: 0.3%, val: 14.7%,  1.4 batches/sec
It 6020, sqrt loss 0.07527, Val sim-RMS 4.76e+07, Time Loss: 85.0%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6055, sqrt loss 0.05315, Val sim-RMS 0.1238, Time Loss: 85.0%, data: 0.3%, val: 14.6%,  1.4 batches/sec
It 6090, sqrt loss 0.04503, Val sim-RMS  450.0, Time Loss: 85.1%, data: 0.3%, val: 14.6%,  1.4 batches/sec
